model,cumret_mean,cumret_std,rachev_mean,rachev_std,mdd_mean,mdd_std,outbear_mean,outbear_std,gate_rate_mean
ppo,0.43937232857673736,0.32179794932330347,0.9445490830947548,0.040034454344810004,-0.27954885244946304,0.09315843009507056,0.5058,0.004263540521418532,0.0
cppo,0.6202810184612385,0.37643015605565666,0.9608567755443843,0.06135397244684752,-0.3040571472633654,0.08394862964999417,0.4998,0.009065195959149362,0.0
ug_cppo,0.3598874484783724,0.3869559022327201,0.9407097804164948,0.04315990092235128,-0.3146672031336623,0.10530539290414592,0.5029999999999999,0.007378647873726225,0.34216388225934763
